Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Sex
1,1,38,1,0,PC 17599,71.2833,C85,C,1
1,1,35,1,0,113803,53.1,C123,S,1
0,1,54,0,0,17463,51.8625,E46,S,0
1,3,4,1,1,PP 9549,16.7,G6,S,1
1,1,58,0,0,113783,26.55,C103,S,1
1,2,34,0,0,248698,13,D56,S,0
1,1,28,0,0,113788,35.5,A6,S,0
0,1,19,3,2,19950,263,C23 C25 C27,S,0
1,1,49,1,0,PC 17572,76.7292,D33,C,1
0,1,65,0,1,113509,61.9792,B30,C,0
1,1,38,0,0,113572,80,B28,,1
0,1,45,1,0,36973,83.475,C83,S,0
1,2,29,0,0,C.A. 29395,10.5,F33,S,1
0,3,25,0,0,348123,7.65,F G73,S,0
1,1,23,3,2,19950,263,C23 C25 C27,S,1
0,1,46,1,0,W.E.P. 5734,61.175,E31,S,0
0,1,71,0,0,PC 17754,34.6542,A5,C,0
1,1,23,0,1,PC 17759,63.3583,D10 D12,C,0
0,1,21,0,1,35281,77.2875,D26,S,0
0,1,47,0,0,110465,52,C110,S,0
0,1,24,0,1,PC 17558,247.5208,B58 B60,C,0
1,2,32.5,0,0,27267,13,E101,S,1
0,1,54,0,1,35281,77.2875,D26,S,0
1,1,19,0,2,11752,26.2833,D47,S,1
0,1,37,1,0,113803,53.1,C123,S,0
0,1,24,0,0,PC 17593,79.2,B86,C,0
0,2,36.5,0,2,230080,26,F2,S,0
1,1,22,1,0,113776,66.6,C2,S,1
0,1,61,0,0,111240,33.5,B19,S,0
0,1,56,0,0,17764,30.6958,A7,C,0
0,1,50,0,0,PC 17595,28.7125,C49,C,1
1,2,1,2,1,230136,39,F4,S,0
1,2,3,1,1,230080,26,F2,S,0
1,1,44,0,0,PC 17610,27.7208,B4,C,1
1,1,58,0,0,PC 17569,146.5208,B80,C,1
0,3,2,0,1,347054,10.4625,G6,S,1
1,1,40,0,0,112277,31,A31,C,0
1,1,31,1,0,35273,113.275,D36,C,1
1,1,32,0,0,11813,76.2917,D15,C,1
1,1,38,1,0,19943,90,C93,S,0
1,1,35,1,0,36973,83.475,C83,S,1
0,1,44,2,0,19928,90,C78,Q,0
1,1,37,1,1,11751,52.5542,D35,S,0
0,3,29,1,1,347054,10.4625,G6,S,1
0,1,62,0,0,113514,26.55,C87,S,0
1,1,30,0,0,110152,86.5,B77,S,1
0,1,52,1,1,110413,79.65,E67,S,0
0,1,40,0,0,112059,0,B94,S,0
1,1,58,0,1,PC 17582,153.4625,C125,S,1
1,1,35,0,0,PC 17760,135.6333,C99,S,1
0,1,37,0,1,PC 17596,29.7,C118,C,0
1,1,63,1,0,13502,77.9583,D7,S,1
1,1,19,1,0,11967,91.0792,B49,C,1
0,2,36,0,0,SC/Paris 2163,12.875,D,C,0
0,1,2,1,2,113781,151.55,C22 C26,S,1
1,1,50,0,1,PC 17558,247.5208,B58 B60,C,1
1,1,0.92,1,2,113781,151.55,C22 C26,S,0
1,1,17,1,0,PC 17758,108.9,C65,C,1
1,1,30,0,0,PC 17485,56.9292,E36,C,1
1,1,24,0,0,11767,83.1583,C54,C,1
1,1,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C,1
1,1,31,0,2,36928,164.8667,C7,S,1
1,1,40,1,1,16966,134.5,E34,C,1
1,1,36,0,0,PC 17760,135.6333,C32,C,1
1,2,36,0,0,28551,13,D,S,1
1,1,16,0,1,111361,57.9792,B18,C,1
0,1,45.5,0,0,113043,28.5,C124,S,0
0,1,38,0,1,PC 17582,153.4625,C91,S,0
0,1,29,1,0,113776,66.6,C2,S,0
1,1,41,0,0,16966,134.5,E40,C,1
0,1,45,0,0,113784,35.5,T,S,0
1,2,2,1,1,230080,26,F2,S,0
1,1,24,3,2,19950,263,C23 C25 C27,S,1
1,2,24,0,0,248733,13,F33,S,1
1,1,22,0,1,113505,55,E33,S,1
1,1,60,1,0,110813,75.25,D37,C,1
1,1,24,0,0,PC 17477,69.3,B35,C,1
1,1,25,1,0,11765,55.4417,E50,C,0
0,1,27,0,2,113503,211.5,C82,C,0
1,1,36,1,2,113760,120,B96 B98,S,0
1,1,23,1,0,35273,113.275,D36,C,1
1,3,24,0,2,PP 9549,16.7,G6,S,1
1,1,33,1,0,19928,90,C78,Q,1
1,3,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,0
1,1,28,0,0,110564,26.55,C52,S,0
0,1,50,1,0,13507,55.9,E44,S,0
1,1,14,1,2,113760,120,B96 B98,S,1
0,1,64,1,4,19950,263,C23 C25 C27,S,0
1,1,4,0,2,33638,81.8583,A34,S,0
1,1,52,0,0,113786,30.5,C104,S,0
0,1,30,0,0,113051,27.75,C111,C,0
1,1,49,1,0,17453,89.1042,C92,C,0
0,1,65,0,0,13509,26.55,E38,S,0
1,1,48,0,0,19952,26.55,E12,S,0
0,1,47,0,0,111320,38.5,E63,S,0
1,2,23,0,0,SC/AH Basle 541,13.7917,D,C,1
1,1,25,1,0,11967,91.0792,B49,C,0
1,1,35,1,0,19943,90,C93,S,1
0,1,58,0,0,11771,29.7,B37,C,0
0,1,55,0,0,113787,30.5,C30,S,0
1,1,54,1,0,36947,78.2667,D20,C,1
0,1,25,1,2,113781,151.55,C22 C26,S,1
1,1,16,0,0,110152,86.5,B79,S,1
0,1,18,1,0,PC 17758,108.9,C65,C,0
1,1,36,0,0,PC 17473,26.2875,E25,S,0
0,1,47,0,0,36967,34.0208,D46,S,0
1,2,34,0,0,C.A. 34260,10.5,F33,S,1
1,1,30,0,0,12749,93.5,B73,S,1
1,1,44,0,1,111361,57.9792,B18,C,1
0,1,45,0,0,113050,26.55,B38,S,0
1,1,22,0,2,13568,49.5,B39,C,1
1,1,36,0,2,WE/P 5735,71,B22,S,1
0,1,50,1,0,PC 17761,106.425,C86,C,0
1,1,17,0,2,17421,110.8833,C70,C,0
1,1,48,1,0,11755,39.6,A16,C,1
1,1,39,1,1,110413,79.65,E67,S,1
1,1,53,2,0,11769,51.4792,C101,S,1
1,1,36,0,0,PC 17474,26.3875,E25,S,0
1,1,39,1,0,13507,55.9,E44,S,1
1,1,39,1,1,17421,110.8833,C68,C,1
0,1,36,0,0,13049,40.125,A10,C,0
1,1,18,0,2,110413,79.65,E68,S,1
1,1,60,1,1,13567,79.2,B41,C,0
1,1,52,1,0,36947,78.2667,D20,C,1
1,1,49,1,0,PC 17485,56.9292,A20,C,0
1,1,40,0,0,PC 17582,153.4625,C125,S,1
1,2,4,2,1,230136,39,F4,S,1
1,1,42,1,0,11753,52.5542,D19,S,0
0,1,61,0,0,36963,32.3208,D50,S,0
1,1,21,0,0,13502,77.9583,D9,S,1
1,1,80,0,0,27042,30,A23,S,0
1,1,32,0,0,13214,30.5,B50,C,0
1,1,24,0,0,PC 17477,69.3,B35,C,1
1,1,48,1,0,PC 17572,76.7292,D33,C,0
1,1,56,0,0,13213,35.5,A26,C,0
0,1,58,0,2,35273,113.275,D48,C,0
0,1,47,0,0,5727,25.5875,E58,S,0
0,1,31,1,0,F.C. 12750,52,B71,S,0
1,1,36,0,1,PC 17755,512.3292,B51 B53 B55,C,0
1,1,27,0,0,PC 17572,76.7292,D49,C,0
1,1,15,0,1,24160,211.3375,B5,S,1
1,1,31,1,0,17474,57,B20,S,0
0,1,49,1,1,17421,110.8833,C68,C,0
0,3,42,0,0,348121,7.65,F G63,S,0
1,1,18,1,0,PC 17757,227.525,C62 C64,C,1
1,1,35,0,0,PC 17475,26.2875,E24,S,0
1,1,42,0,0,PC 17476,26.2875,E24,S,0
1,1,24,0,0,PC 17482,49.5042,C90,C,1
1,1,48,1,0,19996,52,C126,S,0
0,3,19,0,0,348124,7.65,F G73,S,0
1,1,38,0,0,PC 17757,227.525,C45,C,1
1,2,27,0,0,34218,10.5,E101,S,1
1,1,27,1,0,113806,53.1,E8,S,0
1,1,29,0,0,24160,211.3375,B5,S,1
1,1,35,0,0,PC 17755,512.3292,B101,C,0
0,1,36,1,0,19877,78.85,C46,S,0
1,1,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C,1
0,1,70,1,1,WE/P 5735,71,B22,S,0
0,1,19,1,0,113773,53.1,D30,S,0
1,3,6,0,1,392096,12.475,E121,S,0
1,1,33,0,0,110152,86.5,B77,S,1
1,1,36,1,2,113760,120,B96 B98,S,1
1,1,51,1,0,13502,77.9583,D11,S,1
0,2,57,0,0,S.O./P.P. 3,10.5,E77,S,1
1,1,43,0,1,24160,211.3375,B3,S,1
1,1,17,1,0,17474,57,B20,S,1
0,1,29,0,0,113501,30,D6,S,0
0,1,46,0,0,PC 17593,79.2,B82 B84,C,0
1,1,49,0,0,17465,25.9292,D17,S,1
1,1,11,1,2,113760,120,B96 B98,S,0
0,1,39,0,0,112050,0,A36,S,0
1,1,33,1,0,113806,53.1,E8,S,1
1,1,52,1,1,12749,93.5,B69,S,1
1,3,27,0,1,392096,12.475,E121,S,1
1,1,62,0,0,113572,80,B28,,1
1,1,39,1,1,PC 17756,83.1583,E49,C,1
1,1,16,0,1,PC 17592,39.4,D28,S,1
1,1,51,0,0,113055,26.55,E17,S,0
1,1,48,0,0,17466,25.9292,D17,S,1
0,1,31,0,0,PC 17590,50.4958,A24,S,0
1,1,47,1,1,11751,52.5542,D35,S,1
0,1,33,0,0,695,5,B51 B53 B55,S,0
1,1,56,0,1,11767,83.1583,C50,C,1
1,1,19,0,0,112053,30,B42,S,1
1,1,26,0,0,111369,30,C148,C,0
